"CL","LAST-NONSPEC-TEAM","CURRENT-TEAM","NAME-CLEAN","NAME-RAW","SCORE-CURRENT","SCORE-SUM","CAPTURES-CURRENT","CAPTURES-SUM","RETURNS-CURRENT","RETURNS-SUM","BC-CURRENT","BC-SUM","ASSISTS-CURRENT","ASSISTS-SUM","FLAGHOLD-CURRENT","FLAGHOLD-SUM","FLAGGRABS-CURRENT","FLAGGRABS-SUM","MINEGRABS-TOTAL","MINEGRABS-REDBASE","MINEGRABS-BLUEBASE","MINEGRABS-NEUTRAL","ACCURACY-WEIRD","KILLS","DEATHS","TOTALKILLS-MOH","PING-CURRENT","PING-MEAN","PING-MEAN-DEVIATION","TIME-CURRENT","TIME-SUM","GLICKO2-RATING","GLICKO2-DEVIATION","DFA-KILLS","DFA-RETURNS","RED-KILLS","RED-RETURNS","YEL-KILLS","YEL-RETURNS","BLU-KILLS","BLU-RETURNS","DBS-KILLS","DBS-RETURNS","DBS-ATTEMPTS","BS-KILLS","BS-RETURNS","MINE-KILLS","MINE-RETURNS","UPCUT-KILLS","UPCUT-RETURNS","YDFA-KILLS","YDFA-RETURNS","BLUBS-KILLS","BLUBS-RETURNS","DOOM-KILLS","DOOM-RETURNS","TUR-KILLS","TUR-RETURNS","UNKN-KILLS","UNKN-RETURNS","IDLE-KILLS","IDLE-RETURNS"
"29","Red","Red","Padawan (29)","Padawan ^7(^229^7)","806","806","7","7","0","0","2","2","0","0","155150","155150","9","9","0","0","0","0","0","6","5","","20","21.81159420289855","1.5935440008583723","14","14","1773","183","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","Red","Red","Desann","Desann","206","568","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","17","17","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Red","Red","Padawan (8)","Padawan ^7(^28^7)","228","228","0","0","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","17","17","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Red","Red","Padawan (23)","Padawan ^7(^223^7)","213","213","0","0","0","0","3","3","0","0","15780","15780","1","1","0","0","0","0","0","10","6","","0","0","0","17","17","1635","148","1","0","0","0","5","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Red","Red","Padawan (3)","Padawan ^7(^23^7)","210","210","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","11","8","","0","0","0","17","17","1560","148","1","0","2","0","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"27","Red","Red","Padawan (27)","Padawan ^7(^227^7)","210","210","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","10","7","","0","0","0","17","17","1593","148","0","0","1","0","3","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"19","Red","Red","Padawan (19)","Padawan ^7(^219^7)","209","209","0","0","0","0","1","1","0","0","3690","3690","1","1","0","0","0","0","0","6","7","","0","0","0","17","17","1538","154","1","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"13","Red","Red","Padawan (13)","Padawan ^7(^213^7)","208","208","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","17","17","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Red","Red","Padawan (10)","Padawan ^7(^210^7)","207","207","0","0","0","0","0","0","0","0","1570","1570","1","1","0","0","0","0","0","10","7","","0","0","0","17","17","1559","130","1","0","3","0","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Red","Red","Padawan (6)","Padawan ^7(^26^7)","199","199","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","8","6","","0","0","0","17","17","1444","161","3","0","2","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
