"CL","LAST-NONSPEC-TEAM","CURRENT-TEAM","NAME-CLEAN","NAME-RAW","SCORE-CURRENT","SCORE-SUM","CAPTURES-CURRENT","CAPTURES-SUM","RETURNS-CURRENT","RETURNS-SUM","BC-CURRENT","BC-SUM","ASSISTS-CURRENT","ASSISTS-SUM","FLAGHOLD-CURRENT","FLAGHOLD-SUM","FLAGGRABS-CURRENT","FLAGGRABS-SUM","MINEGRABS-TOTAL","MINEGRABS-REDBASE","MINEGRABS-BLUEBASE","MINEGRABS-NEUTRAL","ACCURACY-WEIRD","KILLS","DEATHS","TOTALKILLS-MOH","PING-CURRENT","PING-MEAN","PING-MEAN-DEVIATION","TIME-CURRENT","TIME-SUM","GLICKO2-RATING","GLICKO2-DEVIATION","DFA-KILLS","DFA-RETURNS","RED-KILLS","RED-RETURNS","YEL-KILLS","YEL-RETURNS","BLU-KILLS","BLU-RETURNS","DBS-KILLS","DBS-RETURNS","DBS-ATTEMPTS","BS-KILLS","BS-RETURNS","MINE-KILLS","MINE-RETURNS","UPCUT-KILLS","UPCUT-RETURNS","YDFA-KILLS","YDFA-RETURNS","BLUBS-KILLS","BLUBS-RETURNS","DOOM-KILLS","DOOM-RETURNS","TUR-KILLS","TUR-RETURNS","UNKN-KILLS","UNKN-RETURNS","IDLE-KILLS","IDLE-RETURNS"
"9","Blue","Blue","shax   ","^1shax   ","1204","1204","0","0","29","29","4","4","3","3","207490","207490","4","4","0","0","0","0","0","39","24","","34","34.18022043491212","5.4588657760182535","51","51","1618","76","2","2","10","8","13","6","2","2","5","5","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"14","Blue","Blue","z","z","960","960","5","5","3","3","7","7","0","0","1143500","1143500","26","26","2","2","0","0","0","13","35","","38","30.98240906380441","3.3888326431080573","51","51","1404","87","2","1","0","0","8","0","0","0","1","1","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Blue","Blue","Flate","Flate","832","832","0","0","16","16","8","8","0","0","234260","234260","7","7","3","3","0","0","600","64","48","","7","8.853142686922848","1.2624830190717145","51","51","1583","55","28","4","9","3","8","1","0","0","4","2","9","14","6","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"8","Blue","Blue","kripton","kripton","705","705","0","0","7","7","33","33","0","0","0","0","0","0","46","0","46","0","0","45","37","","24","27.01011603689378","5.862138692914684","51","51","1434","65","12","1","9","2","2","0","0","0","0","0","4","7","0","15","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Blue","Blue","Sora","Sora","654","654","2","2","2","2","4","4","0","0","623080","623080","23","23","5","4","1","0","0","28","53","","24","24.411081322609473","3.550004836424221","51","51","1481","60","12","0","4","1","4","0","0","0","0","0","1","3","1","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Blue","Blue","amor","amor","599","599","0","0","6","6","17","17","1","1","188220","188220","9","9","9","9","0","0","0","60","63","","26","24.708668453976767","1.4492792727705575","51","51","1446","50","45","6","5","1","3","1","1","0","0","0","1","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","Red","Red","bizzle","bizzle","1236","1236","1","1","26","26","10","10","4","4","106790","106790","5","5","1","0","1","0","0","46","39","","31","34.7676286819399","11.972763869730823","51","51","1519","59","11","5","7","5","7","4","2","2","9","5","30","10","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Red","Red","mask on","^1^1^7mask on","1052","1052","0","0","10","10","66","66","0","0","16480","16480","2","2","51","51","0","0","0","85","38","","18","17.711692948527222","0.8962267538209666","51","51","1570","50","24","5","10","1","17","1","1","1","0","0","4","2","1","30","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Red","Red","johncuucka","^Qjohncuucka","671","671","2","2","2","2","10","10","0","0","1419450","1419450","29","29","8","0","8","0","17","25","34","","44","43.34107834375931","3.6985157235251616","51","51","1501","78","7","0","4","0","4","0","1","0","0","0","0","1","0","7","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Red","Red","divine","divine","580","580","0","0","10","10","11","11","0","0","191960","191960","3","3","1","0","1","0","500","45","30","","35","35.45397676496872","1.3660136422574198","51","51","1583","63","15","3","8","1","10","0","0","0","5","3","27","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
