"CL","LAST-NONSPEC-TEAM","CURRENT-TEAM","NAME-CLEAN","NAME-RAW","SCORE-CURRENT","SCORE-SUM","CAPTURES-CURRENT","CAPTURES-SUM","RETURNS-CURRENT","RETURNS-SUM","BC-CURRENT","BC-SUM","ASSISTS-CURRENT","ASSISTS-SUM","FLAGHOLD-CURRENT","FLAGHOLD-SUM","FLAGGRABS-CURRENT","FLAGGRABS-SUM","MINEGRABS-TOTAL","MINEGRABS-REDBASE","MINEGRABS-BLUEBASE","MINEGRABS-NEUTRAL","ACCURACY-WEIRD","KILLS","DEATHS","TOTALKILLS-MOH","PING-CURRENT","PING-MEAN","PING-MEAN-DEVIATION","TIME-CURRENT","TIME-SUM","GLICKO2-RATING","GLICKO2-DEVIATION","DFA-KILLS","DFA-RETURNS","RED-KILLS","RED-RETURNS","YEL-KILLS","YEL-RETURNS","BLU-KILLS","BLU-RETURNS","DBS-KILLS","DBS-RETURNS","DBS-ATTEMPTS","BS-KILLS","BS-RETURNS","MINE-KILLS","MINE-RETURNS","UPCUT-KILLS","UPCUT-RETURNS","YDFA-KILLS","YDFA-RETURNS","BLUBS-KILLS","BLUBS-RETURNS","DOOM-KILLS","DOOM-RETURNS","TUR-KILLS","TUR-RETURNS","UNKN-KILLS","UNKN-RETURNS","IDLE-KILLS","IDLE-RETURNS"
"4","Blue","Blue","Grassland Lime","^2^8^2Grassland Lime","1094","1094","0","0","24","24","12","12","5","5","120720","120720","2","2","2","0","2","0","0","51","27","","50","49.65568501406187","1.5356905753473058","40","40","1651","71","16","4","14","8","7","3","1","0","4","3","13","7","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"2","Blue","Blue","Saint The Untamed","^4^1^4Saint The Untamed","914","914","0","0","20","20","12","12","3","3","55980","55980","3","3","0","0","0","0","0","60","43","","108","106.7581227436823","3.088034956647657","40","40","1472","61","35","12","7","2","0","0","0","0","9","5","28","9","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Blue","Blue","johncuucka","^Qjohncuucka","853","853","4","4","2","2","8","8","0","0","892580","892580","25","25","4","4","0","0","0","20","33","","117","119.39903653151345","2.9409659101757013","40","40","1471","94","6","0","3","0","1","0","1","0","0","0","0","3","2","4","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0"
"7","Blue","Blue","StrayedJack","^0^1^xfc0S^xfd4tray^xfd7e^xff8d^0^1^x800Jack","659","659","0","0","3","3","39","39","0","0","119940","119940","2","2","15","0","15","0","0","47","58","","99","98.08229626655961","0.7868166213077544","40","40","1358","55","13","1","13","1","6","0","0","0","4","0","12","4","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Blue","Blue","RoS ~ spike ..","^1^1^5RoS ~ spike ..","635","635","3","3","1","1","2","2","0","0","482160","482160","17","17","1","0","1","0","0","15","44","","109","107.90325170614211","1.1876663882130316","40","40","1389","77","4","0","3","0","4","0","0","0","1","0","6","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Blue","Blue","=LM= $ 0 /2 /|","^4=^7LM^4= ^7$ 0 /2 /|","443","443","0","0","2","2","9","9","1","1","352330","352330","14","14","10","10","0","0","52","29","44","","85","86.00962695547533","2.742730533503024","40","40","1524","71","9","0","10","1","5","0","0","0","0","0","2","2","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Red","Red","cooky","^4^4^7cooky","1033","1033","0","0","27","27","8","8","3","3","73970","73970","2","2","1","1","0","0","100","47","19","","72","71.7025291047772","3.376696181807182","40","40","1608","85","9","5","4","3","7","3","0","0","13","8","24","13","7","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Red","Red","RoS Someno","RoS Someno","859","859","0","0","9","9","55","55","0","0","7150","7150","1","1","37","37","0","0","0","71","41","","108","108.54819277108433","1.457664532925924","40","40","1553","57","39","4","9","1","6","1","1","0","0","0","0","6","1","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Red","Red","-<(TFJ)>-Captain_Apple","^3^3^7-<(TFJ)>-Captain_Apple","631","631","3","3","4","4","4","4","0","0","833220","833220","19","19","5","1","4","0","144","20","34","","105","106.11020740138268","9.184856203930194","40","40","1416","85","4","0","3","0","7","0","1","0","2","1","2","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","Red","Red","Padawan","Padawan","453","453","0","0","5","5","10","10","0","0","130120","130120","13","13","8","0","8","0","300","49","47","","120","118.58740978348035","5.188524622423841","40","40","1592","58","18","1","8","2","8","0","0","0","6","0","11","8","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
