"CL","LAST-NONSPEC-TEAM","CURRENT-TEAM","NAME-CLEAN","NAME-RAW","SCORE-CURRENT","SCORE-SUM","CAPTURES-CURRENT","CAPTURES-SUM","RETURNS-CURRENT","RETURNS-SUM","BC-CURRENT","BC-SUM","ASSISTS-CURRENT","ASSISTS-SUM","FLAGHOLD-CURRENT","FLAGHOLD-SUM","FLAGGRABS-CURRENT","FLAGGRABS-SUM","MINEGRABS-TOTAL","MINEGRABS-REDBASE","MINEGRABS-BLUEBASE","MINEGRABS-NEUTRAL","ACCURACY-WEIRD","KILLS","DEATHS","TOTALKILLS-MOH","PING-CURRENT","PING-MEAN","PING-MEAN-DEVIATION","TIME-CURRENT","TIME-SUM","GLICKO2-RATING","GLICKO2-DEVIATION","DFA-KILLS","DFA-RETURNS","RED-KILLS","RED-RETURNS","YEL-KILLS","YEL-RETURNS","BLU-KILLS","BLU-RETURNS","DBS-KILLS","DBS-RETURNS","DBS-ATTEMPTS","BS-KILLS","BS-RETURNS","MINE-KILLS","MINE-RETURNS","UPCUT-KILLS","UPCUT-RETURNS","YDFA-KILLS","YDFA-RETURNS","BLUBS-KILLS","BLUBS-RETURNS","DOOM-KILLS","DOOM-RETURNS","TUR-KILLS","TUR-RETURNS","UNKN-KILLS","UNKN-RETURNS","IDLE-KILLS","IDLE-RETURNS"
"9","Blue","Blue","bizzle","bizzle","942","942","1","1","16","16","12","12","2","2","82100","82100","2","2","3","1","2","0","0","32","16","","88","87.397021058038","1.2549036272073386","28","28","1604","102","9","2","6","5","4","4","1","0","5","3","13","6","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"8","Blue","Blue","Platinum End","^7Platinum End","794","794","1","1","4","4","42","42","0","0","51120","51120","2","2","21","0","21","0","0","55","32","","113","112.79917822290703","0.981199407839119","28","28","1513","63","14","1","11","0","10","1","0","0","8","2","24","3","0","8","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"7","Blue","Blue","z","z","655","655","3","3","2","2","7","7","0","0","703480","703480","14","14","0","0","0","0","0","20","16","","113","116.09100257069409","2.0080676031219764","28","28","1644","113","4","1","4","1","10","0","0","0","1","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Blue","Blue","-<(TFJ)>-Captain_Apple","^5^5^4-<(TFJ)>-^1^1^1C^4aptain_Apple","591","591","2","2","1","1","9","9","0","0","494260","494260","17","17","6","5","1","0","23","20","19","","103","103.22033898305085","0.743564955105339","28","28","1442","92","4","0","3","1","8","0","0","0","0","0","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Blue","Blue","zimzimma","^1zim^4zimma","545","545","0","0","9","9","9","9","3","3","0","0","0","0","2","1","1","0","0","36","16","","83","82.54335556695742","1.980353277690567","28","28","1614","92","21","6","6","2","2","0","0","0","0","0","0","5","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Blue","Blue","devy (working mouse)","devy (working mouse)","414","414","0","0","3","3","10","10","0","0","172560","172560","8","8","7","7","0","0","33","31","26","","118","116.9475847893114","2.6249508044633703","28","28","1443","82","6","1","6","1","9","0","0","0","0","0","5","6","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Red","Red","endru","endru","619","619","0","0","16","16","2","2","2","2","35010","35010","2","2","1","0","1","0","0","22","24","","109","108.87416538263996","0.7785551915635947","28","28","1585","90","7","5","5","2","3","2","1","1","1","1","12","3","3","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0"
"11","Red","Red","Xan","^8^7^8Xan","562","562","3","3","2","2","7","7","0","0","708280","708280","16","16","0","0","0","0","0","14","30","","54","53.77258726899384","0.6114312156744748","28","28","1518","95","2","0","2","1","5","0","0","0","1","0","2","2","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"12","Red","Red","Flawless","^Xb9f2ff^X145f9c^Xb9f2ffFlawless","364","364","0","0","8","8","4","4","0","0","7620","7620","2","2","0","0","0","0","0","28","33","","99","99.83761562178829","1.6332060627534868","28","28","1518","69","15","5","1","0","3","0","0","0","4","2","8","4","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Red","Red","StrayedJack","^0^1^xfc0S^xfd4tray^xfd7e^xff8d^0^1^x800Jack","311","311","0","0","5","5","7","7","1","1","28150","28150","1","1","19","18","1","0","0","19","39","","97","97.86235233692861","1.1035522850146708","28","28","1342","98","4","1","7","3","1","0","0","0","0","0","1","1","0","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Red","Red","[DBD]ew0k","^7^7^1[^7DBD^1]^7ew^10^7k","271","271","0","0","2","2","5","5","1","1","284500","284500","10","10","7","0","7","0","13","23","33","","127","127.60246533127889","1.4073525043863009","28","28","1590","86","13","1","2","0","3","0","0","0","1","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","Red","Red","sora","^8^5^8sora","241","241","0","0","1","1","7","7","0","0","316210","316210","10","10","6","1","5","0","61","19","35","","81","81.16777834787071","2.2528855540789183","28","28","1479","85","7","0","2","0","3","0","0","0","1","0","3","3","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Spectator","Spectator","Padawan (6)","^0^1^0P^5^0^5a^0^2^0d^4^7^4a^7^1^7w^5^7^5an ^7(^26^7)","942","942","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Spectator","Spectator","Padawan (5)","^0^1^0P^5^0^5a^0^2^0d^4^7^4a^7^1^7w^5^7^5an ^7(^25^7)","619","619","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Spectator","Spectator","link","link","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Spectator","Spectator","Zyzyx","^0Zyzyx","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Spectator","Spectator","bizzle's washed clothes","^3bizzle's washed clothes","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Spectator","Spectator","Dio","^8^8^8Dio","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","Spectator","Spectator","hit","hit","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Spectator","Spectator","Zyzyx","^0Zyzyx","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Spectator","Spectator","kamuij","kamuij","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","Spectator","Spectator","Padawan","Padawan","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Spectator","Spectator","CHEE$E","^x8ab^x78bCHEE$E","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Spectator","Spectator","cooky","^4^4^7cooky","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Spectator","Spectator","[ I ] CaraxeS","^0^Xff0540^Xff008f[ I ] CaraxeS","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","Spectator","Spectator","shax  ","^1shax  ","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Spectator","Spectator","bizzles whore mother","bizzles whore mother","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Spectator","Spectator","Endtroducing...","^0^y111b^y111bEndtroducing...","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Spectator","Spectator","bizzle's enemy","^3bizzle's enemy","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Spectator","Spectator","eggy wets","^3eggy wets","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","Spectator","Spectator","NWH: jk2t.ddns.net","NWH: ^2jk2t.ddns.net^7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
