"CL","LAST-NONSPEC-TEAM","CURRENT-TEAM","NAME-CLEAN","NAME-RAW","SCORE-CURRENT","SCORE-SUM","CAPTURES-CURRENT","CAPTURES-SUM","RETURNS-CURRENT","RETURNS-SUM","BC-CURRENT","BC-SUM","ASSISTS-CURRENT","ASSISTS-SUM","FLAGHOLD-CURRENT","FLAGHOLD-SUM","FLAGGRABS-CURRENT","FLAGGRABS-SUM","MINEGRABS-TOTAL","MINEGRABS-REDBASE","MINEGRABS-BLUEBASE","MINEGRABS-NEUTRAL","ACCURACY-WEIRD","KILLS","DEATHS","TOTALKILLS-MOH","PING-CURRENT","PING-MEAN","PING-MEAN-DEVIATION","TIME-CURRENT","TIME-SUM","GLICKO2-RATING","GLICKO2-DEVIATION","DFA-KILLS","DFA-RETURNS","RED-KILLS","RED-RETURNS","YEL-KILLS","YEL-RETURNS","BLU-KILLS","BLU-RETURNS","DBS-KILLS","DBS-RETURNS","DBS-ATTEMPTS","BS-KILLS","BS-RETURNS","MINE-KILLS","MINE-RETURNS","UPCUT-KILLS","UPCUT-RETURNS","YDFA-KILLS","YDFA-RETURNS","BLUBS-KILLS","BLUBS-RETURNS","DOOM-KILLS","DOOM-RETURNS","TUR-KILLS","TUR-RETURNS","UNKN-KILLS","UNKN-RETURNS","IDLE-KILLS","IDLE-RETURNS"
"12","Red","Red","bizzle","bizzle","641","760","0","0","12","12","7","7","3","3","36430","36430","3","3","0","0","0","0","0","23","21","","86","88.66666666666667","10.973055021639897","13","13","1425","95","12","5","0","0","3","2","0","0","4","2","11","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Red","Red","Slobodan Milosevic.","^3S^7lobodan ^3M^7ilosevic^1.","736","736","5","5","0","0","4","4","0","0","245620","245620","17","17","2","0","2","0","0","9","29","","38","37.94661921708185","1.8382381917980368","13","13","1351","104","1","0","1","0","2","0","0","0","0","0","8","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Red","Red","Padawan","Padawan","687","687","0","0","5","5","31","31","1","1","61560","61560","3","3","8","0","8","0","0","44","32","","102","104.48383233532934","8.93278505205738","13","13","1547","73","25","2","6","3","3","0","0","0","3","0","5","1","0","4","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"15","Red","Red","Muted","^8^7^8Muted","613","613","1","1","4","4","18","18","2","2","140410","140410","6","6","1","0","1","0","0","28","27","","54","54.25592417061611","1.1420030934020937","13","13","1453","91","16","1","4","1","2","0","0","0","4","2","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Red","Red","killzo the untainted","killzo the untainted","561","561","0","0","7","7","8","8","4","4","106790","106790","6","6","0","0","0","0","0","17","19","","106","105.29062870699882","2.857176759553474","13","13","1486","104","4","0","5","2","1","1","0","0","1","0","11","5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"14","Red","Red","~Armadon~","^8^5^8~Armadon~","491","491","0","0","4","4","12","12","2","2","102830","102830","9","9","0","0","0","0","0","19","27","","37","36.79736211031175","1.5286058116431807","13","13","1513","90","10","3","2","0","0","0","0","0","7","1","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Red","Red","AMATERASU","^0^x600^x400AMAT^0^x500^y0008E^0^x600^y1009RASU","384","384","1","1","2","2","1","1","2","2","15010","15010","2","2","0","0","0","0","0","4","8","","104","104.067615658363","1.023534399051583","13","13","1444","189","1","0","0","0","1","0","0","0","2","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","Red","Red","NWH: jk2t.ddns.net","NWH: ^2jk2t.ddns.net^7","174","174","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","","0","0","0","13","13","1286","253","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Blue","Blue","[~BBC~] Interlude","^0^X9d9100^X0f0f12[~BBC~] Interlude","905","905","0","0","8","8","54","54","1","1","25860","25860","3","3","2","0","2","0","0","69","35","","104","104.09004739336493","1.39869454966104","13","13","1617","60","40","3","9","3","11","0","0","0","5","1","10","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","Blue","Blue","cooky","^4^4^7cooky","522","735","0","0","10","10","4","4","1","1","106810","106810","4","4","1","1","0","0","0","18","13","","83","82.55160142348754","0.7643489682655445","13","13","1671","124","4","1","3","2","4","2","1","1","1","0","4","3","3","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0"
