"CL","LAST-NONSPEC-TEAM","CURRENT-TEAM","NAME-CLEAN","NAME-RAW","SCORE-CURRENT","SCORE-SUM","CAPTURES-CURRENT","CAPTURES-SUM","RETURNS-CURRENT","RETURNS-SUM","BC-CURRENT","BC-SUM","ASSISTS-CURRENT","ASSISTS-SUM","FLAGHOLD-CURRENT","FLAGHOLD-SUM","FLAGGRABS-CURRENT","FLAGGRABS-SUM","MINEGRABS-TOTAL","MINEGRABS-REDBASE","MINEGRABS-BLUEBASE","MINEGRABS-NEUTRAL","ACCURACY-WEIRD","KILLS","DEATHS","TOTALKILLS-MOH","PING-CURRENT","PING-MEAN","PING-MEAN-DEVIATION","TIME-CURRENT","TIME-SUM","GLICKO2-RATING","GLICKO2-DEVIATION","DFA-KILLS","DFA-RETURNS","RED-KILLS","RED-RETURNS","YEL-KILLS","YEL-RETURNS","BLU-KILLS","BLU-RETURNS","DBS-KILLS","DBS-RETURNS","DBS-ATTEMPTS","BS-KILLS","BS-RETURNS","MINE-KILLS","MINE-RETURNS","UPCUT-KILLS","UPCUT-RETURNS","YDFA-KILLS","YDFA-RETURNS","BLUBS-KILLS","BLUBS-RETURNS","DOOM-KILLS","DOOM-RETURNS","TUR-KILLS","TUR-RETURNS","UNKN-KILLS","UNKN-RETURNS","IDLE-KILLS","IDLE-RETURNS"
"3","Red","Red","AMATERASU","^0^x600^x400AMAT^0^x500^y0008E^0^x600^y1009RASU","1029","1029","0","0","24","24","7","7","4","4","3710","3710","1","1","0","0","0","0","0","37","19","","107","104.05012964563527","3.8322757591274526","36","36","1671","86","7","3","13","10","2","0","0","0","5","4","13","8","6","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0"
"12","Red","Red","bizzle","bizzle","1004","1004","5","5","5","5","12","12","0","0","1189980","1189980","20","20","5","1","4","0","25","30","25","","87","87.58805711813068","2.112564704491254","36","36","1521","77","12","0","7","3","6","2","1","0","1","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Red","Red","killzo the untainted","killzo the untainted","712","712","0","0","13","13","7","7","3","3","4100","4100","1","1","1","0","1","0","33","52","38","","104","104.4982683982684","1.5362986411602901","36","36","1543","59","27","7","6","2","12","2","0","0","2","1","11","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Red","Red","SloboDesann (5 score on Batcherz","SloboDesann (5 score on Batcherz","649","649","2","2","3","3","2","2","0","0","454300","454300","20","20","5","0","5","0","0","28","41","","37","37.94249891915261","2.2829801630026867","36","36","1435","71","15","1","3","2","0","0","0","0","3","0","7","2","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Red","Red","~Armadon~","^8^5^8~Armadon~","602","602","0","0","5","5","25","25","1","1","180","180","1","1","28","28","0","0","2","39","31","","41","36.09012131715771","2.213795446718041","36","36","1478","70","10","0","6","1","3","0","0","0","2","0","9","6","2","11","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Red","Red","Muted","^8^7^8Muted","525","525","0","0","4","4","12","12","2","2","215060","215060","13","13","5","0","5","0","115","44","42","","55","54.144588744588745","0.5574009567088868","36","36","1519","59","23","1","7","2","7","0","0","0","6","2","7","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Blue","Blue","mikoshi","^Xda663f^Xda663f^X6e6866mikoshi","779","779","0","0","18","18","6","6","2","2","131600","131600","3","3","0","0","0","0","0","34","31","","105","105.06404154045867","0.5156662316741483","36","36","1476","70","7","4","7","2","10","4","0","0","3","3","8","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","Blue","Blue","cooky","^4^4^7cooky","716","716","0","0","14","14","11","11","3","3","109770","109770","6","6","4","3","1","0","0","54","41","","81","81.87683664649957","3.04644957103726","36","36","1443","55","20","5","3","1","13","2","0","0","3","2","7","10","3","3","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"13","Blue","Blue","[~BBC~] Tom","^0^X9d9100^X0f0f12[~BBC~] Tom","608","608","0","0","9","9","28","28","0","0","68760","68760","3","3","25","0","25","0","0","41","43","","99","98.95064935064936","3.0178669989523037","36","36","1460","64","7","0","5","1","7","1","0","0","2","0","7","3","0","17","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Blue","Blue","[~BBC~] Interlude","^0^X9d9100^X0f0f12[~BBC~] Interlude","553","553","1","1","3","3","12","12","0","0","743230","743230","20","20","5","4","1","0","277","41","34","","104","103.90688609787787","1.1364001665985106","36","36","1574","70","11","2","10","0","17","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Blue","Blue","Meadowlark Lemon","^3Meadowlark Lemon","544","544","2","2","2","2","1","1","1","1","682360","682360","24","24","2","1","1","0","0","7","35","","13","13.403896103896104","0.7321216677518466","36","36","1332","102","3","0","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Blue","Blue","besty.","^6besty.","170","170","0","0","0","0","8","8","0","0","47920","47920","3","3","7","6","1","0","77","19","46","","149","152.63073593073594","29.66607824030173","36","36","1349","71","10","0","5","0","1","0","0","0","0","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Spectator","Spectator","Padawan (5)","^0^1^0P^5^0^5a^0^4^0d^7^4^7a^0^1^0w^7^2^7an ^7(^25^7)","1029","1029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Spectator","Spectator","Padawan (6)","^0^1^0P^5^0^5a^0^4^0d^7^4^7a^0^1^0w^7^2^7an ^7(^26^7)","779","779","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Spectator","Spectator","Det Som Engang Var","Det Som Engang Var","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Spectator","Spectator","phen","phen","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Spectator","Spectator","A T L A S","^0^X08021f^X313182A T L A S","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Spectator","Spectator","<The Illuminati> Brolly","^$<^*The Illuminati^$> ^*Brolly","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","Spectator","Spectator","shax   ","shax   ","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Spectator","Spectator","Padawan (8)","Padawan ^7(^28^7)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Spectator","Spectator","Padawan","Padawan","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Spectator","Spectator","link","link","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Spectator","Spectator","z","z","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Spectator","Spectator","Endtroducing...","^0^y111b^y111bEndtroducing...","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Spectator","Spectator","Padawan (19)","Padawan ^7(^219^7)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
