"CL","LAST-NONSPEC-TEAM","CURRENT-TEAM","NAME-CLEAN","NAME-RAW","SCORE-CURRENT","SCORE-SUM","CAPTURES-CURRENT","CAPTURES-SUM","RETURNS-CURRENT","RETURNS-SUM","BC-CURRENT","BC-SUM","ASSISTS-CURRENT","ASSISTS-SUM","FLAGHOLD-CURRENT","FLAGHOLD-SUM","FLAGGRABS-CURRENT","FLAGGRABS-SUM","MINEGRABS-TOTAL","MINEGRABS-REDBASE","MINEGRABS-BLUEBASE","MINEGRABS-NEUTRAL","ACCURACY-WEIRD","KILLS","DEATHS","TOTALKILLS-MOH","PING-CURRENT","PING-MEAN","PING-MEAN-DEVIATION","TIME-CURRENT","TIME-SUM","GLICKO2-RATING","GLICKO2-DEVIATION","DFA-KILLS","DFA-RETURNS","RED-KILLS","RED-RETURNS","YEL-KILLS","YEL-RETURNS","BLU-KILLS","BLU-RETURNS","DBS-KILLS","DBS-RETURNS","DBS-ATTEMPTS","BS-KILLS","BS-RETURNS","MINE-KILLS","MINE-RETURNS","UPCUT-KILLS","UPCUT-RETURNS","YDFA-KILLS","YDFA-RETURNS","BLUBS-KILLS","BLUBS-RETURNS","DOOM-KILLS","DOOM-RETURNS","TUR-KILLS","TUR-RETURNS","UNKN-KILLS","UNKN-RETURNS","IDLE-KILLS","IDLE-RETURNS"
"8","Red","Red","{CcC} Cheese","^X800080^XFFFF00^X800080{CcC} Cheese","958","958","0","0","23","23","6","6","5","5","56750","56750","4","4","2","0","2","0","33","40","54","","40","33.60539523212045","1.7053671274906073","51","51","1511","64","21","10","11","8","5","4","1","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Red","Red","{FoU} Original.","^9^9^9{^7FoU^9} ^7Original^9.","855","855","2","2","10","10","11","11","3","3","698110","698110","8","8","20","1","19","0","60","40","35","","89","89.25329153605016","1.3361785727699802","51","51","1563","66","5","2","4","1","16","3","1","0","2","1","2","4","1","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Red","Red","Xan","^8^6^8Xan","777","777","3","3","4","4","12","12","0","0","902310","902310","16","16","7","1","6","0","0","33","44","","54","53.950219160926736","2.0929470408435193","51","51","1489","62","17","1","5","2","4","0","0","0","1","0","4","4","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Red","Red","[stacker] sora","^5^6^5[^7stacker^5] ^7sora","649","649","1","1","1","1","40","40","1","1","45800","45800","2","2","38","38","0","0","0","58","70","","86","84.65558343789209","6.608823000838685","51","51","1438","49","21","0","11","0","11","1","1","0","0","0","6","2","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Red","Red","Glempan","Glempan","541","541","1","1","4","4","2","2","0","0","1206990","1206990","15","15","8","0","8","0","0","15","28","","95","95.42857142857143","0.5646528103856435","51","51","1480","82","2","1","8","1","3","0","0","0","0","0","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Red","Red","StrayedJack","^0^1^xfc0S^xfd4tray^xfd7e^xff8d^0^1^x800Jack","350","350","0","0","5","5","6","6","0","0","29110","29110","1","1","3","0","3","0","71","27","65","","102","100.95018796992481","5.056109975561059","51","51","1387","64","20","4","2","0","1","0","0","0","2","1","5","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"9","Blue","Blue","sAlvador","^7s^1A^7lvador","883","883","0","0","3","3","72","72","0","0","106220","106220","2","2","33","0","33","0","0","93","46","","70","71.51127819548873","0.9304770761678848","51","51","1535","51","34","2","19","0","10","0","2","0","3","1","12","11","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Blue","Blue","Mister","Mister","728","728","3","3","5","5","10","10","0","0","980710","980710","20","20","2","1","1","0","0","39","26","","86","86.01941747572816","3.1568653711646086","51","51","1534","63","19","2","6","2","9","0","0","0","2","1","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Blue","Blue","leviticus","^y1288leviticus","512","512","0","0","12","12","4","4","2","2","5480","5480","1","1","2","2","0","0","283","31","27","","61","60.61222570532915","0.8196878367305839","51","51","1500","77","14","4","8","4","3","1","0","0","4","2","9","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Blue","Blue","s","s","469","469","0","0","4","4","11","11","0","0","1569680","1569680","18","18","4","4","0","0","191","40","22","","107","107.187088686932","0.8222287918321183","51","51","1564","89","19","2","13","0","4","0","1","0","0","0","1","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Blue","Blue","devy","devy","393","393","0","0","7","7","6","6","1","1","18100","18100","2","2","2","2","0","0","0","43","60","","109","110.01754385964912","3.151212995150938","51","51","1345","50","13","1","13","6","10","0","1","0","1","0","6","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
