"CL","LAST-NONSPEC-TEAM","CURRENT-TEAM","NAME-CLEAN","NAME-RAW","SCORE-CURRENT","SCORE-SUM","CAPTURES-CURRENT","CAPTURES-SUM","RETURNS-CURRENT","RETURNS-SUM","BC-CURRENT","BC-SUM","ASSISTS-CURRENT","ASSISTS-SUM","FLAGHOLD-CURRENT","FLAGHOLD-SUM","FLAGGRABS-CURRENT","FLAGGRABS-SUM","MINEGRABS-TOTAL","MINEGRABS-REDBASE","MINEGRABS-BLUEBASE","MINEGRABS-NEUTRAL","ACCURACY-WEIRD","KILLS","DEATHS","TOTALKILLS-MOH","PING-CURRENT","PING-MEAN","PING-MEAN-DEVIATION","TIME-CURRENT","TIME-SUM","GLICKO2-RATING","GLICKO2-DEVIATION","DFA-KILLS","DFA-RETURNS","DFA-ATTEMPTS","RED-KILLS","RED-RETURNS","YEL-KILLS","YEL-RETURNS","BLU-KILLS","BLU-RETURNS","DBS-KILLS","DBS-RETURNS","DBS-ATTEMPTS","BS-KILLS","BS-RETURNS","BS-ATTEMPTS","MINE-KILLS","MINE-RETURNS","UPCUT-KILLS","UPCUT-RETURNS","YDFA-KILLS","YDFA-RETURNS","YDFA-ATTEMPTS","BLUBS-KILLS","BLUBS-RETURNS","BLUBS-ATTEMPTS","DOOM-KILLS","DOOM-RETURNS","TUR-KILLS","TUR-RETURNS","UNKN-KILLS","UNKN-RETURNS","IDLE-KILLS","IDLE-RETURNS","BLOCKS-TEAM","BLOCKS-TEAMCAPPER","BLOCKS-ENEMY","BLOCKS-ENEMYCAPPER"
"17","Red","Red","soul","^8^8^8soul","1383","1383","0","0","33","33","8","8","1","1","24160","24160","1","1","1","0","1","0","233","56","40","","84","84.1063933626159","0.9822252022576541","62","62","1582","54","10","5","115","17","9","10","6","0","0","8","6","27","10","7","23","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","18","4","28","10"
"11","Red","Red","cheese","^xbff^yabbb^xbffcheese","792","1148","1","2","15","15","6","7","2","3","1514370","1934610","24","34","2","0","2","0","0","32","41","","52","52.55513784461153","3.1849965346701707","46","63","1636","70","11","3","60","13","9","4","1","1","0","0","0","0","3","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","1","31","3"
"7","Red","Red","vizzle","vizzle","973","973","1","1","22","22","9","9","0","0","51350","51350","2","2","2","0","2","0","900","49","47","","89","87.96874236874237","1.9312986023345784","62","62","1488","62","21","10","99","17","8","3","1","0","0","2","0","1","5","3","15","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","22","4","32","6"
"1","Red","Red","[TB] Ronnor","^4[^3TB^4] ^1Ronnor","865","865","3","3","4","4","13","13","0","0","1005720","1005720","27","27","12","1","11","0","103","45","56","","105","104.71170731707318","3.3243095028041925","62","62","1489","56","15","0","59","6","1","9","1","0","0","3","0","7","4","1","15","6","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","18","0","32","3"
"18","Red","Red","</besty./>","^/</^&besty.^7/>","777","777","1","1","5","5","37","37","0","0","37520","37520","3","3","61","61","0","0","2","63","57","","140","132.46135029354207","18.733987901076652","62","62","1446","57","24","4","314","9","0","3","0","0","0","1","0","3","1","0","3","25","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","16","8","29","3"
"2","Red","Red","Ben","Ben","508","508","0","0","4","4","11","11","0","0","169790","169790","11","11","12","0","12","0","6","32","70","","80","81.35747378688124","3.8614973011752376","62","62","1410","55","10","2","60","5","1","11","0","0","0","0","0","1","0","0","1","6","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","22","5","38","5"
"6","Blue","Blue","yuki","yuki","1240","1240","0","0","29","29","13","13","1","1","137610","137610","5","5","1","0","1","0","600","54","35","","112","112.48475237862894","0.6160805654726014","62","62","1526","61","16","6","81","18","12","6","2","0","0","9","7","31","5","2","15","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","14","3","28","9"
"13","Blue","Blue","Flawless","^Xb9f2ff^X145f9c^Xb9f2ffFlawless","1041","1041","0","0","26","26","7","7","3","3","89820","89820","5","5","1","1","0","0","100","69","54","","100","101.7369448511469","5.223376019386927","62","62","1530","54","18","3","90","17","6","7","0","0","0","10","5","16","17","12","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","2","45","17"
"12","Blue","Blue","Noctuary","^X1B0886^XCFCFE7^X1B0886Noctuary","1014","1014","4","4","4","4","16","16","0","0","1179730","1179730","37","37","1","1","0","0","1050","49","47","","24","25.053658536585367","1.3870652579255955","62","62","1603","58","17","1","62","12","2","10","0","1","0","1","1","1","6","0","14","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","6","0","29","1"
"16","Blue","Blue","johncuucka","^Qjohncuucka","693","693","1","1","1","1","13","13","0","0","1653840","1653840","35","35","0","0","0","0","0","29","48","","176","119.36001952648279","3.4863649186816006","62","62","1467","61","11","1","48","9","0","6","0","1","0","0","0","1","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","1","33","1"
"14","Blue","Blue","Clockwork","Clockwork","683","683","0","0","7","7","31","31","1","1","2620","2620","2","2","57","0","57","0","0","45","36","","80","81.17451793995606","0.6445770236382508","62","62","1416","69","12","2","98","12","1","7","1","0","0","0","0","0","0","0","0","14","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","2","13","1"
"3","Blue","Blue","Bronchitis","^7^7^7^8Bronchitis","476","476","0","0","2","2","21","21","1","1","193220","193220","9","9","21","20","1","0","58","65","57","","28","27.262067284251586","1.3726873347998203","62","62","1489","52","22","1","126","9","0","21","0","0","0","0","0","0","1","0","6","10","1","0","0","0","0","3","0","0","0","0","0","1","0","1","0","0","0","8","2","37","0"
"5","Spectator","Spectator","Padawan (5)","^0^1^0P^5^1^5a^3^2^3d^7^6^7a^3^4^3w^0^3^0an ^7(^25^7)","1240","1240","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Spectator","Spectator","Padawan (4)","^0^1^0P^5^1^5a^3^2^3d^7^6^7a^3^3^3w^7^5^7an ^7(^24^7)","865","865","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Spectator","Spectator","sora","^8^5^8sora","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","Spectator","Spectator","vbe mer","vbe mer","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","Spectator","Spectator","Padawan (24)","Padawan ^7(^224^7)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","Spectator","Spectator","=LM= thufir","^1^1^1=^7LM^1= ^7thufir","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Spectator","Spectator","pi > loom","^X33195b^X33195b^X2e256bpi > loom","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","Spectator","Spectator","shax ","shax ","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Spectator","Spectator","eze","^0^X8ad4d4^X8080dbeze","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
